addr,name,symbol_class,runtime_tier,branch_count,pool_count,total_callers,first_caller
0x0603CDD8,FUN_0603CDD8,global-FUN,real-call,0,1,1,src\race\FUN_060351CC.s:102 [pool]
0x0603CE88,FUN_0603CE88,global-FUN,real-call,0,2,2,src\race\FUN_06028000.s:2781 [pool]
0x0603D0CA,FUN_0603D0CA,global-FUN,tail-call,1,3,4,src\race\FUN_0603C304.s:1965 [branch]
0x0603D4D0,FUN_0603D4D0,global-FUN,real-call,0,0,0,
0x0603D558,FUN_0603D558,global-FUN,real-call,4,0,4,src\race\FUN_0603C304.s:2007 [branch]
0x0603D980,FUN_0603D980,global-FUN,real-call,0,2,2,src\race\FUN_06028000.s:2805 [pool]
0x0603DA52,DAT_0603DA52,PROVIDE-alias,real-call,0,1,1,src\race\FUN_0602B22C.s:13590 [pool]
0x0603DA78,FUN_0603DA78,global-FUN,real-call,2,0,2,src\race\FUN_0603C304.s:2258 [branch]
0x0603DAEC,FUN_0603DAEC,global-FUN,real-call,1,0,1,src\race\FUN_0603C304.s:2342 [branch]
0x0603DC9C,FUN_0603DC9C,global-FUN,real-call,0,1,1,src\race\FUN_0603C304.s:4577 [pool]
0x0603DDAE,FUN_0603DDAE,global-FUN,real-call,4,1,5,src\race\FUN_0603C304.s:3637 [branch]
0x0603DE68,FUN_0603DE68,global-FUN,real-call,1,1,2,src\race\FUN_0603C304.s:3832 [branch]
0x0603DEBC,FUN_0603DEBC,global-FUN,real-call,2,1,3,src\race\FUN_0603C304.s:3675 [branch]
0x0603E14C,FUN_0603E14C,global-FUN,real-call,0,1,1,src\race\FUN_0603C304.s:8275 [pool]
0x0603E340,FUN_0603E340,global-FUN,real-call,2,0,2,src\race\FUN_0603C304.s:4219 [branch]
0x0603E488,FUN_0603E488,global-FUN,real-call,0,1,1,src\race\FUN_06029A78.s:276 [pool]
0x0603E4A4,FUN_0603E4A4,global-FUN,real-call,0,1,1,src\race\FUN_0603C304.s:4855 [pool]
0x0603E7B0,FUN_0603E7B0,global-FUN,real-call,1,0,1,src\race\FUN_0603C304.s:5218 [branch]
0x0603E952,FUN_0603E952,global-FUN,real-call,1,0,1,src\race\FUN_0603C304.s:5445 [branch]
0x0603E9A4,FUN_0603E9A4,global-FUN,real-call,0,3,3,src\race\FUN_0603C304.s:1428 [pool]
0x0603E9E2,FUN_0603E9E2,global-FUN,real-call,1,0,1,src\race\FUN_0603C304.s:5532 [branch]
0x0603EAAA,FUN_0603EAAA,global-FUN,real-call,1,0,1,src\race\FUN_0603C304.s:5644 [branch]
0x0603EBE2,FUN_0603EBE2,global-FUN,real-call,0,3,3,src\race\FUN_0603C304.s:3020 [pool]
0x0603EC40,DAT_0603EC40,PROVIDE-alias,real-call,0,2,2,src\race\FUN_0603C304.s:6550 [pool]
0x0603EC54,FUN_0603EC54,global-FUN,real-call,1,0,1,src\race\FUN_0603C304.s:5886 [branch]
0x0603EC86,FUN_0603EC86,global-FUN,real-call,2,0,2,src\race\FUN_0603C304.s:5469 [branch]
0x0603EC94,FUN_0603EC94,global-FUN,real-call,1,0,1,src\race\FUN_0603C304.s:6072 [branch]
0x0603ECB6,FUN_0603ECB6,global-FUN,tail-call,1,0,1,src\race\FUN_0603C304.s:5930 [branch]
0x0603ECF0,FUN_0603ECF0,global-FUN,real-call,5,1,6,src\race\FUN_0603C304.s:5771 [branch]
