addr,name,symbol_class,runtime_tier,direct_callers,shifted_callers,shift_detail,verdict_hint
0x0603EBE2,FUN_0603EBE2,global-FUN,real-call,3,0,,has-direct-caller
0x0603EC40,DAT_0603EC40,PROVIDE-alias,real-call,2,0,,has-direct-caller
0x0603EC54,FUN_0603EC54,global-FUN,real-call,2,0,,has-direct-caller
0x0603EC86,FUN_0603EC86,global-FUN,real-call,2,0,,has-direct-caller
0x0603EC94,FUN_0603EC94,global-FUN,real-call,1,0,,has-direct-caller
0x0603ECB6,FUN_0603ECB6,global-FUN,tail-call,1,0,,has-direct-caller
0x0603ECF0,FUN_0603ECF0,global-FUN,real-call,6,0,,has-direct-caller
0x0603ED24,FUN_0603ED24,global-FUN,tail-call,1,0,,has-direct-caller
0x0603ED5C,FUN_0603ED5C,global-FUN,real-call,1,0,,has-direct-caller
0x0603EDC8,FUN_0603EDC8,global-FUN,real-call,1,0,,has-direct-caller
0x0603EDF8,FUN_0603EDF8,global-FUN,tail-call,1,0,,has-direct-caller
0x0603EE36,FUN_0603EE36,global-FUN,real-call,0,1,-2:1,callsite-shifted
0x0603EE48,FUN_0603EE48,global-FUN,real-call,7,0,,has-direct-caller
0x0603EE64,FUN_0603EE64,global-FUN,real-call,4,0,,has-direct-caller
0x0603EEBC,FUN_0603EEBC,global-FUN,tail-call,3,0,,has-direct-caller
0x0603EF86,FUN_0603EF86,global-FUN,tail-call,1,0,,has-direct-caller
0x0603EF8E,DAT_0603EF8E,PROVIDE-alias,real-call,1,1,-8:1,has-direct-caller
0x0603F0B4,FUN_0603F0B4,global-FUN,real-call,2,0,,has-direct-caller
0x0603F0D0,FUN_0603F0D0,global-FUN,tail-call,1,0,,has-direct-caller
0x0603F134,FUN_0603F134,global-FUN,real-call,0,2,-2:2,callsite-shifted
0x0603F166,FUN_0603F166,global-FUN,real-call,2,0,,has-direct-caller
0x0603F4C0,FUN_0603F4C0,global-FUN,real-call,0,4,-2:4,callsite-shifted
0x0603F506,FUN_0603F506,global-FUN,real-call,0,0,,zero-caller
0x0603F512,FUN_0603F512,global-FUN,tail-call,1,0,,has-direct-caller
0x0603F534,FUN_0603F534,global-FUN,real-call,3,0,,has-direct-caller
0x0603F58C,FUN_0603F58C,global-FUN,real-call,2,0,,has-direct-caller
0x0603F61C,FUN_0603F61C,global-FUN,real-call,7,0,,has-direct-caller
0x0603F6BE,FUN_0603F6BE,global-FUN,tail-call,2,0,,has-direct-caller
0x0603F6F8,FUN_0603F6F8,global-FUN,real-call,2,0,,has-direct-caller
0x0603F75C,DAT_0603F75C,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x0603F770,FUN_0603F770,global-FUN,real-call,1,0,,has-direct-caller
0x0603F7B8,FUN_0603F7B8,global-FUN,real-call,3,0,,has-direct-caller
0x0603F8AC,FUN_0603F8AC,global-FUN,real-call,1,0,,has-direct-caller
0x0603F99E,FUN_0603F99E,global-FUN,real-call,0,3,-2:3,callsite-shifted
0x0603F9E8,FUN_0603F9E8,global-FUN,tail-call,1,0,,has-direct-caller
0x0603FA54,FUN_0603FA54,global-FUN,real-call,3,0,,has-direct-caller
0x0603FAA8,FUN_0603FAA8,global-FUN,real-call,2,0,,has-direct-caller
0x0603FABE,DAT_0603FABE,PROVIDE-alias,real-call,2,0,,has-direct-caller
0x0603FAEA,DAT_0603FAEA,PROVIDE-alias,real-call,3,0,,has-direct-caller
0x0603FBD0,DAT_0603FBD0,PROVIDE-alias,real-call,3,0,,has-direct-caller
0x0603FC10,FUN_0603FC10,global-FUN,real-call,3,0,,has-direct-caller
0x0603FFBC,DAT_0603FFBC,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x0603FFD0,FUN_0603FFD0,global-FUN,real-call,2,0,,has-direct-caller
0x0604002C,FUN_0604002C,global-FUN,real-call,2,0,,has-direct-caller
0x060400F8,FUN_060400F8,global-FUN,real-call,2,0,,has-direct-caller
0x0604016C,DAT_0604016C,PROVIDE-alias,real-call,2,0,,has-direct-caller
0x06040200,DAT_06040200,PROVIDE-alias,isr-entered,3,0,,has-direct-caller
0x0604025C,FUN_0604025C,global-FUN,real-call,2,0,,has-direct-caller
0x06040280,FUN_06040280,global-FUN,real-call,2,0,,has-direct-caller
0x06040418,FUN_06040418,global-FUN,real-call,1,0,,has-direct-caller
0x06040480,FUN_06040480,global-FUN,real-call,1,0,,has-direct-caller
0x060407D4,FUN_060407D4,global-FUN,real-call,1,0,,has-direct-caller
0x06040860,FUN_06040860,global-FUN,real-call,1,0,,has-direct-caller
0x06040B8C,FUN_06040B8C,global-FUN,real-call,3,0,,has-direct-caller
0x06040CF0,FUN_06040CF0,global-FUN,real-call,1,0,,has-direct-caller
0x06040E80,DAT_06040E80,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x060410B2,FUN_060410B2,global-FUN,real-call,1,0,,has-direct-caller
0x0604148C,FUN_0604148C,global-FUN,real-call,2,0,,has-direct-caller
0x0604177C,FUN_0604177C,global-FUN,real-call,3,0,,has-direct-caller
0x0604208C,FUN_0604208C,global-FUN,real-call,2,0,,has-direct-caller
0x060423DC,FUN_060423DC,global-FUN,real-call,1,0,,has-direct-caller
0x060424B8,FUN_060424B8,global-FUN,real-call,4,0,,has-direct-caller
0x0604256C,FUN_0604256C,global-FUN,real-call,2,0,,has-direct-caller
0x060425DC,FUN_060425DC,global-FUN,tail-call,1,0,,has-direct-caller
0x0604264C,FUN_0604264C,global-FUN,real-call,1,0,,has-direct-caller
0x06042DC4,FUN_06042DC4,global-FUN,real-call,2,0,,has-direct-caller
0x06042DF8,FUN_06042DF8,global-FUN,tail-call,1,0,,has-direct-caller
0x06042F2C,FUN_06042F2C,global-FUN,real-call,1,0,,has-direct-caller
0x06043110,FUN_06043110,global-FUN,real-call,2,0,,has-direct-caller
0x06043178,DAT_06043178,PROVIDE-alias,tail-call,1,0,,has-direct-caller
0x060431BC,DAT_060431BC,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x060431F8,FUN_060431F8,global-FUN,real-call,1,0,,has-direct-caller
0x06043384,FUN_06043384,global-FUN,real-call,2,0,,has-direct-caller
0x060433F0,FUN_060433F0,global-FUN,real-call,1,0,,has-direct-caller
0x06043460,FUN_06043460,global-FUN,real-call,1,0,,has-direct-caller
0x06043A54,DAT_06043A54,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x06043B04,FUN_06043B04,global-FUN,tail-call,11,0,,has-direct-caller
0x06043CCC,FUN_06043CCC,global-FUN,real-call,1,0,,has-direct-caller
0x06043F10,FUN_06043F10,global-FUN,real-call,13,0,,has-direct-caller
0x06043F24,FUN_06043F24,global-FUN,real-call,2,0,,has-direct-caller
0x06044138,FUN_06044138,global-FUN,real-call,3,0,,has-direct-caller
0x06044344,FUN_06044344,global-FUN,real-call,2,0,,has-direct-caller
0x060446F4,FUN_060446F4,global-FUN,real-call,2,0,,has-direct-caller
0x06044788,FUN_06044788,global-FUN,real-call,2,0,,has-direct-caller
0x06044834,FUN_06044834,global-FUN,real-call,6,0,,has-direct-caller
0x06044848,FUN_06044848,global-FUN,real-call,1,0,,has-direct-caller
0x060449AC,FUN_060449AC,global-FUN,real-call,4,0,,has-direct-caller
0x060449B6,FUN_060449B6,global-FUN,isr-entered,1,0,,has-direct-caller
0x06044BCC,FUN_06044BCC,global-FUN,real-call,2,0,,has-direct-caller
0x06044D74,FUN_06044D74,global-FUN,real-call,5,0,,has-direct-caller
0x06044D80,FUN_06044D80,global-FUN,real-call,13,0,,has-direct-caller
0x06044DBA,DAT_06044DBA,PROVIDE-alias,real-call,27,4,-2:4,has-direct-caller
0x06044DF4,DAT_06044DF4,PROVIDE-alias,real-call,3,0,,has-direct-caller
0x06044E28,FUN_06044E28,global-FUN,real-call,7,0,,has-direct-caller
0x06044E3C,FUN_06044E3C,global-FUN,real-call,34,0,,has-direct-caller
