start,end,size,type,pinned_entry_tu,cdl_code_cs1,cdl_code_cs2,cdl_code_cs3,cdl_code_cs4,cdl_read_max,cdl_write_max,bp_attract,bp_threeseven,old_overlap,old_fn_count,old_sweep_dead_count,old_buckets,verdict,discrepancy
0x0602EF10,0x0602EF35,38,code,0,0,0,0,0,0,0,0,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602EF36,0x0602EF5B,38,code,0,0,0,0,0,0,0,0,1,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602EF5C,0x0602EFE3,136,code,0,0,0,0,0,0,0,0,3,EXACT,1,0,,RETAIL_LIVE,
0x0602EFE4,0x0602F035,82,code,0,40,40,0,40,0,0,0,1,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602F036,0x0602F053,30,code,0,24,24,0,24,0,0,0,0,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602F054,0x0602F071,30,code,0,0,0,0,0,0,0,0,0,NEW_INSIDE_OLD,1,0,,RETAIL_DEAD,OLD_LIVE_BUT_RETAIL_DEAD
0x0602F072,0x0602F113,162,code,0,70,70,70,70,36,0,0,0,EXACT,1,1,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602F114,0x0602F167,84,code,0,0,0,0,0,0,0,0,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602F168,0x0602F177,16,code,0,0,0,0,0,0,0,0,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602F178,0x0602F1D3,92,code,0,78,78,78,78,0,0,0,1,NEW_INSIDE_OLD,1,1,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602F1D4,0x0602F20B,56,code,0,32,32,32,32,0,0,0,0,NEW_INSIDE_OLD,1,1,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602F20C,0x0602F2B7,172,code,0,160,160,160,160,0,0,0,0,MERGED,2,2,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602F2B8,0x0602F311,90,code,0,0,0,0,0,0,0,0,0,MULTI_MISMATCH,2,2,B1,RETAIL_DEAD,
0x0602F312,0x0602F329,24,code,0,0,0,0,0,0,0,0,0,MULTI_MISMATCH,2,2,B1,RETAIL_DEAD,
0x0602F32A,0x0602F349,32,code,0,0,0,0,0,0,0,0,0,MULTI_MISMATCH,2,1,B1,RETAIL_DEAD,
0x0602F34A,0x0602F3EF,166,code,0,0,0,0,0,48,0,2,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602F3F0,0x0602F42B,60,code,0,0,0,0,0,0,0,0,0,NEW_INSIDE_OLD,1,1,B1,RETAIL_DEAD,
0x0602F42C,0x0602F4A5,122,code,0,0,0,0,0,0,0,0,4,NEW_INSIDE_OLD,1,1,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602F4A6,0x0602F4D9,52,code,0,0,0,0,0,0,0,0,2,NEW_INSIDE_OLD,1,1,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602F4DA,0x0602F51B,66,code,0,0,0,0,0,0,0,0,1,MULTI_MISMATCH,2,2,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602F51C,0x0602F563,72,code,0,0,0,0,0,0,0,0,0,NEW_INSIDE_OLD,1,1,B1,RETAIL_DEAD,
0x0602F564,0x0602F5B1,78,code,0,0,0,0,0,0,0,0,0,NEW_INSIDE_OLD,1,1,B1,RETAIL_DEAD,
0x0602F5B2,0x0602F65B,170,code,0,0,0,0,0,0,0,0,0,EXACT,1,1,B1,RETAIL_DEAD,
0x0602F65C,0x0602F7BF,356,code,0,0,0,0,0,0,0,0,0,EXACT,1,1,B1,RETAIL_DEAD,
0x0602F7C0,0x0602F813,84,code,0,0,0,0,0,0,0,0,0,NEW_INSIDE_OLD,1,0,,RETAIL_DEAD,OLD_LIVE_BUT_RETAIL_DEAD
0x0602F814,0x0602F81D,10,code,0,0,0,0,0,0,0,0,0,NEW_INSIDE_OLD,1,0,,RETAIL_DEAD,OLD_LIVE_BUT_RETAIL_DEAD
0x0602F81E,0x0602F8E7,202,code,0,0,0,0,0,0,0,4,4,MULTI_MISMATCH,2,0,,RETAIL_LIVE,
0x0602F8E8,0x0602FA87,416,code,0,54,54,54,54,0,0,14,14,MERGED,7,2,B1+B5,RETAIL_LIVE,
0x0602FA88,0x0602FACB,68,code,0,0,0,0,0,16,0,3,3,MULTI_MISMATCH,2,0,,RETAIL_LIVE,
0x0602FACC,0x0602FAEB,32,code,0,0,0,0,0,0,0,2,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602FAEC,0x0602FB93,168,code,0,0,0,0,0,0,0,4,4,MERGED,3,0,,RETAIL_LIVE,
0x0602FB94,0x0602FCD3,320,code,0,0,0,0,0,0,0,3,3,MERGED,3,0,,RETAIL_LIVE,
0x0602FCD4,0x0602FCFD,42,code,0,0,0,0,0,0,0,2,2,EXACT,1,0,,RETAIL_LIVE,
0x0602FCFE,0x0602FD37,58,code,0,50,50,50,50,0,0,1,3,EXACT,1,0,,RETAIL_LIVE,
0x0602FD38,0x0602FEED,438,code,0,0,0,0,0,14,0,0,1,MERGED,3,2,B1,RETAIL_LIVE,
0x0602FEEE,0x0602FFBF,210,code,0,0,0,0,0,0,0,0,0,EXACT,1,1,B1,RETAIL_DEAD,
0x0602FFC0,0x0603004B,140,code,0,0,0,0,0,0,0,4,4,MULTI_MISMATCH,3,0,,RETAIL_LIVE,
0x0603004C,0x0603008F,68,code,0,24,24,0,24,4,0,1,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x06030090,0x06030439,938,code,0,204,204,204,728,52,0,0,3,MULTI_MISMATCH,2,0,,RETAIL_LIVE,
0x0603043A,0x06030487,78,code,0,0,0,0,0,0,0,0,3,MULTI_MISMATCH,2,0,,RETAIL_LIVE,
0x06030488,0x0603048F,8,code,0,0,0,0,0,0,0,0,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x06030490,0x0603051F,144,code,0,0,0,0,0,6,0,0,1,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x06030520,0x06030729,522,code,0,0,0,0,0,0,0,0,2,EXACT,1,1,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0603072A,0x06030741,24,code,0,0,0,0,0,0,0,0,2,NEW_INSIDE_OLD,1,1,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x06030742,0x0603079F,94,code,0,0,0,0,0,0,0,0,3,NEW_INSIDE_OLD,1,1,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x060307A0,0x06030823,132,code,0,0,0,0,0,0,0,0,2,EXACT,1,1,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x06030824,0x0603083B,24,code,0,0,0,0,0,0,0,2,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0603083C,0x060308BF,132,code,0,0,0,0,0,0,0,1,1,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x060308C0,0x06030A1B,348,code,0,0,0,0,0,0,0,2,2,EXACT,1,0,,RETAIL_LIVE,
0x06030A1C,0x06030A47,44,code,0,0,0,0,0,0,0,0,1,EXACT,1,1,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x06030A48,0x06030A7F,56,code,0,0,0,0,0,0,0,3,1,MERGED,2,2,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x06030A80,0x06030AD7,88,code,0,0,0,0,0,0,0,1,0,MERGED,2,2,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x06030AD8,0x06030AF9,34,code,0,0,0,0,0,0,0,2,2,EXACT,1,0,,RETAIL_LIVE,
