addr,node,size,type,pinned_entry_tu,inbound_refs_pristine,zero_inbound,reach_pristine,reach_transplant,falls_into_next,entered_by_fallthrough,retail_verdict,leg_verdict,selfcheck
0x0602CC84,src/race/asm/FUN_0602CC84.c,222,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602CD62,src/race/asm/FUN_0602CD62.c,54,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602CD98,src/race/asm/FUN_0602CD98.c,376,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602CF10,src/race/asm/FUN_0602CF10.c,298,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602D03A,src/race/asm/FUN_0602D03A.c,12,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602D046,src/race/asm/FUN_0602D046.c,12,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602D052,src/race/asm/FUN_0602D052.c,62,code,0,21,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602D090,src/race/asm/FUN_0602D090.c,114,code,0,9,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602D102,src/race/asm/FUN_0602D102.c,56,code,0,16,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602D13A,src/race/asm/FUN_0602D13A.c,310,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602D270,src/race/asm/FUN_0602D270.c,270,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602D37E,src/race/asm/FUN_0602D37E.c,20,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602D392,src/race/asm/FUN_0602D392.c,318,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602D4D0,src/race/asm/FUN_0602D4D0.c,700,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602D78C,src/race/asm/FUN_0602D78C.c,612,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602D9F0,src/race/asm/FUN_0602D9F0.c,190,code,0,4,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602DAAE,src/race/asm/FUN_0602DAAE.c,302,code,0,4,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602DBDC,src/race/asm/FUN_0602DBDC.c,164,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602DC80,src/race/asm/FUN_0602DC80.c,194,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
