retail_name,transplant_addr,real_sigs,phantom_sigs,verdict
FUN_0603FDD8,0x0603FDD4,0,0,SILENT
FUN_0603FE94,0x0603FE90,0,0,SILENT
FUN_0603FEE8,0x0603FEE4,0,0,SILENT
FUN_0603FF48,0x0603FF44,0,0,SILENT
FUN_0603FF64,0x0603FF60,0,0,SILENT
FUN_0603FFBC,0x0603FFB8,1,0,REAL_FIRE
FUN_0603FFD0,0x0603FFCC,1,1,REAL_FIRE
FUN_06040018,0x06040014,0,0,SILENT
FUN_0604002C,0x06040028,0,0,SILENT
FUN_0604006C,0x06040068,0,0,SILENT
FUN_06040080,0x0604007C,0,0,SILENT
FUN_060400AE,0x060400AA,0,0,SILENT
FUN_060400C4,0x060400C0,0,0,SILENT
FUN_060400F8,0x060400F4,1,0,REAL_FIRE
FUN_0604016C,0x06040168,1,0,REAL_FIRE
FUN_0604025C,0x06040258,1,0,REAL_FIRE
FUN_06040280,0x0604027C,1,0,REAL_FIRE
FUN_06040418,0x06040414,1,1,REAL_FIRE
FUN_06040480,0x0604047C,1,1,REAL_FIRE
FUN_060405CC,0x060405C8,0,0,SILENT
FUN_060405F8,0x060405F4,0,0,SILENT
FUN_06040606,0x06040602,0,0,SILENT
FUN_06040614,0x06040610,0,0,SILENT
FUN_06040618,0x06040614,0,0,SILENT
FUN_06040622,0x0604061E,0,0,SILENT
FUN_06040634,0x06040630,1,0,REAL_FIRE
FUN_060407D4,0x060407D0,0,0,SILENT
FUN_06040860,0x0604085C,0,0,SILENT
FUN_06040A64,0x06040A60,0,0,SILENT
FUN_06040A7E,0x06040A7A,0,0,SILENT
FUN_06040B8C,0x06040B88,1,0,REAL_FIRE
FUN_06040CF0,0x06040CEC,0,0,SILENT
FUN_06040DA8,0x06040DA4,0,0,SILENT
FUN_06040DCC,0x06040DC8,0,0,SILENT
FUN_06040E1C,0x06040E18,0,0,SILENT
FUN_06040E80,0x06040E7C,1,0,REAL_FIRE
FUN_06041004,0x06041000,0,0,SILENT
FUN_0604101A,0x06041016,0,0,SILENT
FUN_060410B2,0x060410AE,1,0,REAL_FIRE
FUN_0604148C,0x06041488,1,1,REAL_FIRE
FUN_060416F2,0x060416EE,0,1,PHANTOM_ONLY
FUN_0604177C,0x06041778,2,0,REAL_FIRE
FUN_0604208C,0x06042088,1,0,REAL_FIRE
FUN_060423DC,0x060423D8,1,0,REAL_FIRE
FUN_06042454,0x06042450,0,1,PHANTOM_ONLY
FUN_060424B8,0x060424B4,0,0,SILENT
FUN_0604252A,0x06042526,0,0,SILENT
FUN_0604256C,0x06042568,1,0,REAL_FIRE
FUN_060425DC,0x060425D8,1,1,REAL_FIRE
